X,Y
6.4702000617981E+00,6.46730005741119E-01
7.85605430603027E+00,7.2092866897583E-01
5.12840270996094E+00,2.00208497047424E+00
1.25543117523193E+01,4.49499893188477E+00
9.26333332061768E+00,4.11271715164185E+00
1.22773990631104E+01,5.26932239532471E+00
6.4765477180481E+00,2.29657697677612E+00
1.25396347045898E+01,6.31752300262451E+00
6.7973952293396E+00,1.88084387779236E+00
1.015309715271E+01,1.31210386753082E+00
9.06074523925781E+00,4.09138631820679E+00
1.04542398452759E+01,4.73533725738525E+00
9.51147079467773E+00,3.41713619232178E+00
1.41873097419739E+00,1.81773996353149E+00
9.1505708694458E+00,1.44901955127716E+00
9.98717880249023E+00,3.31619811058044E+00
1.19429178237915E+01,6.33342790603638E+00
9.80928707122803E+00,9.7529262304306E-01
1.14178924560547E+01,4.51186513900757E+00
1.00979175567627E+01,3.42972469329834E+00
7.82115936279297E+00,6.1254221200943E-01
1.08517713546753E+01,1.78984308242798E+00
1.17560033798218E+01,5.06512355804443E+00
1.08221969604492E+01,5.01398706436157E+00
1.01856737136841E+01,2.19812774658203E+00
1.0938117980957E+01,1.69149923324585E+00
9.72499465942383E+00,3.7664213180542E+00
1.09186477661133E+01,2.20272326469421E+00
1.25150108337402E+01,6.27867031097412E+00
1.03412656784058E+01,3.58430624008179E+00
6.63300037384033E+00,1.00833344459534E+00
9.71988677978516E+00,1.30584609508514E+00
8.50300025939941E+00,1.51105332374573E+00
1.03686294555664E+01,4.73648643493652E+00
9.63088226318359E+00,2.24865651130676E+00
9.42014408111572E+00,1.6644481420517E+00
1.01157779693604E+01,3.61096286773682E+00
5.56508016586304E+00,1.79689601063728E-01
1.17262744903564E+01,4.88824510574341E+00
8.19016075134277E+00,3.42253756523132E+00
1.15518112182617E+01,2.3325834274292E+00
1.01007099151611E+01,2.26320481300354E+00
5.0854320526123E+00,1.44627118110657E+00
1.10049724578857E+01,3.74525785446167E+00
5.92707395553589E+00,1.46827125549316E+00
7.92970895767212E+00,7.0499312877655E-01
1.18685140609741E+01,5.27554845809937E+00
7.53542280197144E+00,1.89281538128853E-01
5.76968479156494E+00,1.4821742773056E+00
1.29788570404053E+01,5.72188186645508E+00
6.64891624450684E+00,2.50853276252747E+00
6.80058145523071E+00,1.81613892316818E-01
5.38394403457642E+00,1.03377366065979E+00
6.66627311706543E+00,3.34671069867909E-03
8.79932689666748E+00,2.18279933929443E+00
1.04127149581909E+01,2.125732421875E+00
9.6529016494751E+00,4.21786832809448E+00
1.53409612178802E+00,3.19274473190308E+00
1.22555799484253E+01,5.50830125808716E+00
8.68559265136719E+00,1.26484966278076E+00
8.01699447631836E+00,5.35004198551178E-01
7.12357139587402E+00,2.25087952613831E+00
7.32171058654785E+00,2.44768786430359E+00
9.15550899505615E+00,1.17102217674255E+00
1.06635580062866E+01,3.17312908172607E+00
1.28288297653198E+01,6.04714107513428E+00
1.0937349319458E+01,2.48956966400146E+00
4.26507043838501E+00,8.77214789390564E-01
8.91686248779297E+00,3.66192531585693E+00
7.24639415740967E+00,4.33272838592529E-01
1.10423936843872E+01,4.26679229736328E+00
1.13486957550049E+01,3.63591837882996E+00
1.15491275787354E+01,3.4375331401825E+00
1.22157306671143E+01,5.74140548706055E+00
1.15524253845215E+01,4.17504596710205E+00
1.23167819976807E+01,4.72242736816406E+00
7.83801317214966E+00,2.72696375846863E+00
4.15489721298218E+00,1.07340967655182E+00
6.63015127182007E+00,2.38401436805725E+00
7.73942518234253E+00,2.70596098899841E+00
8.99503040313721E+00,2.07009410858154E+00
1.08827753067017E+01,2.0789041519165E+00
1.23377227783203E+01,5.55284976959229E+00
1.04605407714844E+01,4.80936002731323E+00
1.22603740692139E+01,5.47514486312866E+00
7.57772922515869E+00,1.16753697395325E+00
8.42565155029297E+00,2.24948501586914E+00
1.19392356872559E+01,4.68954610824585E+00
1.01760158538818E+01,7.53010511398315E-01
8.93141651153564E+00,3.17169260978699E+00
1.2356059551239E+00,4.22753715515137E+00
1.19795255661011E+01,5.41999387741089E+00
-7.53935694694519E-01,4.54952907562256E+00
4.34451007843018E+00,6.52100801467896E-01
7.56640577316284E+00,2.05533838272095E+00
4.87422561645508E+00,3.46358209848404E-01
1.20436840057373E+01,5.79552459716797E+00
1.20000419616699E+01,6.04040098190308E+00
1.12942695617676E+01,4.48478889465332E+00
6.94309663772583E+00,6.88241004943848E-01
1.17987747192383E+01,5.30829000473022E+00
9.27739524841309E+00,1.18155109882355E+00
1.09040927886963E+01,5.33638715744019E+00
6.53900861740112E+00,1.2783830165863E+00
1.02155246734619E+01,1.32833445072174E+00
1.17915925979614E+01,4.09171724319458E+00
6.84094762802124E+00,1.96481490135193E+00
9.77198219299316E+00,4.45124101638794E+00
9.89923763275146E+00,2.07095861434937E+00
8.83184623718262E+00,9.73684966564178E-01
5.41082859039307E+00,2.31941246986389E+00
1.18886737823486E+01,3.18963575363159E+00
9.69087028503418E+00,1.97747111320496E+00
1.04605340957642E+01,5.11168241500854E+00
9.75197505950928E+00,3.55153512954712E+00
6.40787839889526E+00,1.42262697219849E+00
6.34140682220459E+00,7.18836903572083E-01
1.17406702041626E+01,4.25786447525024E+00
9.80704116821289E+00,4.20692491531372E+00
9.96735000610352E+00,5.06234788894653E+00
7.91822338104248E+00,1.17191362380981E+00
1.18710870742798E+01,3.85787391662598E+00
2.72710871696472E+00,2.52248692512512E+00
1.26837320327759E+01,6.40819215774536E+00
8.43115043640137E+00,9.63961243629456E-01
4.00069761276245E+00,1.85943782329559E+00
1.08895483016968E+01,2.80033659934998E+00
9.0183629989624E+00,3.68128395080566E+00
1.03828754425049E+01,3.83968329429626E+00
1.00620889663696E+01,2.77750277519226E+00
1.24973764419556E+01,4.39512872695923E+00
7.77969074249268E+00,9.50778499245644E-02
9.82318782806396E+00,3.16510105133057E+00
8.99288082122803E+00,3.28964710235596E+00
9.17744064331055E+00,2.90962100028992E+00
7.62228918075562E+00,2.45307779312134E+00
8.55129432678223E+00,1.31273663043976E+00
1.0869478225708E+01,2.83722639083862E+00
6.93424081802368E+00,3.42619001865387E-01
1.27279415130615E+01,6.25906133651733E+00
1.13104524612427E+01,4.2685980796814E+00
8.54541778564453E+00,3.91066700220108E-01
1.1053708076477E+01,1.71050810813904E+00
9.88697528839111E+00,1.64330554008484E+00
6.17358922958374E+00,2.75527447462082E-01
9.7020320892334E+00,3.33922052383423E+00
1.04682111740112E+01,1.67531418800354E+00
1.19101848602295E+01,6.11303377151489E+00
1.05237903594971E+01,4.70166301727295E+00
1.18885402679443E+01,2.66451811790466E+00
1.05727787017822E+01,5.29331207275391E+00
1.07940664291382E+01,2.42580986022949E+00
7.36513519287109E+00,2.67753601074219E+00
1.10448246002197E+01,1.99434113502502E+00
8.8876838684082E+00,3.55175876617432E+00
1.1385157585144E+01,3.16575074195862E+00
1.17107353210449E+01,5.13823413848877E+00
1.19641695022583E+01,5.08158683776855E+00
7.29158401489258E+00,1.85222065448761E+00
1.04921264648438E+01,1.15689241886139E+00
1.25170879364014E+01,3.42163634300232E+00
1.16084804534912E+01,2.81164503097534E+00
1.00948963165283E+01,1.72879838943481E+00
8.04201793670654E+00,3.12903666496277E+00
1.24009914398193E+01,4.60906744003296E+00
7.0297155380249E+00,9.75485026836395E-01
2.59515881538391E+00,2.2193648815155E+00
9.04484176635742E+00,2.41602873802185E+00
6.6008186340332E+00,5.76043128967285E-01
6.72866439819336E+00,1.56143099069595E-01
1.11910495758057E+01,1.9867479801178E+00
6.84429216384888E+00,1.09204292297363E+00
5.05577850341797E+00,1.87747204303741E+00
1.10976161956787E+01,4.81023359298706E+00
1.02754688262939E+01,4.49862575531006E+00
6.72647714614868E+00,2.59838008880615E+00
6.93826246261597E+00,1.80911040306091E+00
1.17077169418335E+01,4.45297956466675E+00
1.18888292312622E+01,3.50005030632019E+00
1.1380763053894E+01,5.77278280258179E+00
7.85154485702515E+00,1.25107562541962E+00
6.31097936630249E+00,4.69814747571945E-01
1.31777382921427E-03,3.71523213386536E+00
1.16637754440308E+01,5.09351539611816E+00
9.44071292877197E+00,3.25148820877075E+00
1.23098993301392E+01,5.08066082000732E+00
9.59971904754639E+00,2.39707183837891E+00
